Station,LAT,LONG,ELEVATION
50425,50.25,120.1833,581.4
50431,50.78333,121.5167,717
50434,50.48333,121.6833,732.6
50442,50.4,124.1167,371.7
50445,50.58333,123.7333,423.7
50514,49.58333,117.3167,661.8
50524,49.31667,119.4333,576.6
50525,49.15,119.75,620.8
50526,49.28333,120.7,668.8
50527,49.25,119.7,649.6
50548,49.2,123.7167,286.1
50557,49.16667,125.2333,242.2
50564,49.43333,127.35,234.5
50603,48.68333,116.8167,542.4
50618,48.21667,118.2667,642
50632,48.76667,121.9167,739.7
50639,48,122.7333,306.5
50645,48.48333,124.4833,195
50646,48.48333,124.85,202.8
50647,48.13333,123.4833,236.2
50655,48.5,126.1833,266.8
50656,48.25,126.5,278.4
50658,48.05,125.8833,236
50659,48.03333,126.25,291.8
50727,47.16667,119.9333,997.2
50739,47.3,123.25,209.33
50741,47.93333,123.5,185.2
50742,47.8,124.4833,162.7
50745,47.38333,123.9167,147.1
50749,47.18333,124.8333,154.6
50750,47.9,125.3,226.4
50755,47.61667,126.0667,249.8
50756,47.45,126.8667,247.4
50758,47.18333,125.9,246
50767,47.23333,127.1,202.7
50774,47.7,128.8333,264.8
50832,46.71667,122.0833,332.6
50833,46.71667,122.9,187.8
50834,46.6,121.2167,499.7
50838,46.08333,122.05,274.7
50842,46.83333,124.4167,145.4
50844,46.4,123.45,138.8
50851,46.68333,126.0833,207.4
50852,46.83333,126.45,169.1
50853,46.61667,126.9667,179.6
50854,46.38333,125.3167,149.3
50858,46.01667,125.8,159.5
50859,46.28333,126.2833,169.3
50861,46.88333,127.4833,182.4
50862,46.98333,127.9833,206
50867,46.08333,127.35,134.1
50871,46.73333,129.8833,95.1
50873,46.78333,130.3,82
50877,46.3,129.5833,100.1
50913,45.71667,118.8333,865
50915,45.51667,116.9667,838.9
50928,45.06667,120.3333,628.3
50934,45.38333,121.5833,311.7
50936,45.63333,122.8333,155.3
50937,45.06667,121.4833,282.1
50939,45.33333,122.8167,150.8
50940,45.85,123.1667,141.1
50945,45.5,124.2333,138.1
50946,45.18333,124.8333,139.8
50948,45,124.0167,146.3
50949,45.08333,124.8667,136.2
50950,45.7,125.25,148.7
50953,45.93333,126.5667,118.3
50954,45.5,125.0833,127.5
50955,45.4,126.3167,168.3
50956,46.08333,126.7667,134.5
50958,45.53333,126.9333,168.2
50960,45.73333,127.3833,184.2
50962,45.95,128.0333,112.1
50963,45.96667,128.7333,108.6
50964,45.83333,128.8,119.3
50965,45.43333,128.2667,167.2
50968,45.21667,127.9667,189.7
51053,48.05,86.4,532.6
51058,47.1,87.96667,563.3
51059,47.45,85.88333,968.2
51060,47.7,86.86667,473.9
51068,47.11667,87.48333,497
51076,47.73333,88.08333,735.3
51087,46.98333,89.51667,807.5
51133,46.73333,83,534.9
51137,46.2,82.93333,715.4
51145,46.55,83.65,521.6
51156,46.81667,85.75,1322.1
51186,46.66667,90.38333,1218.2
51232,45.18333,82.56667,336.1
51238,44.9,82.06667,532.2
51241,45.93333,83.6,1094.2
51243,45.61667,84.85,450.3
51288,45.36667,90.53333,1653.7
51328,44.16667,80.41667,722
51329,44.05,80.85,640
51330,44.96667,81.01667,1357.8
51334,44.56667,82.81667,329.2
51346,44.43333,84.66667,478.7
51352,44.85,85.25,337.1
51353,45.01667,86.1,346
51356,44.31667,86.05,442.9
51357,44.33333,85.61667,522.2
51358,44.28333,85.81667,468.5
51359,44.31667,86.2,471.4
51365,44.2,87.53333,440.5
51367,44.16667,86.85,575.1
51368,44.11667,87.31667,515.7
51369,43.96667,87.65,600.3
51377,44.16667,87.91667,547
51378,44,89.16667,742.9
51379,44.01667,89.56667,793.5
51430,43.83333,81.15,602.6
51431,43.95,81.33333,662.5
51433,43.8,82.51667,1105.3
51434,43.96667,81.53333,770
51435,43.46667,82.23333,774.9
51436,43.45,83.3,928.2
51437,43.15,81.13333,1851
51438,43.18333,81.76667,1210.4
51463,43.78333,87.65,935
51465,43.48333,87.1,1871.8
51467,42.76667,86.33333,1732.4
51468,43.1,86.83333,3539
51469,43.45,87.18333,1930
51470,43.88333,88.11667,1942.5
51477,43.35,88.31667,1103.5
51482,43.83333,90.28333,1271.5
51495,43.21667,91.73333,721.4
51526,42.23333,88.21667,922.4
51542,43.03333,84.15,2458
51559,42.31667,86.4,1100.9
51567,42.08333,86.56667,1055.3
51568,42.25,86.8,1085.4
51571,42.76667,88.6,49.5
51572,42.83333,89.25,-48.7
51573,42.95,89.23333,39.3
51581,42.85,90.23333,398.6
51627,41.21667,79.23333,1395.8
51628,41.11667,80.38333,1107.1
51629,41.26667,80.23333,1133.1
51633,41.78333,81.9,1229.2
51636,41.55,82.65,1009.8
51639,41.23333,82.78333,980.4
51642,41.81667,84.26667,982
51644,41.71667,82.96667,1081.9
51655,41.35,86.26667,884.9
51656,41.73333,85.81667,899.8
51701,40.51667,75.4,3504.4
51704,39.71667,76.16667,1298.7
51705,39.71667,75.25,2175.7
51707,39.5,76.78333,1204.7
51708,39.15,75.95,1325.1
51709,39.48333,75.75,1385.6
51711,40.93333,78.45,1985.1
51716,39.8,78.56667,1116.5
51717,39.25,76.78333,1206.3
51720,40.5,79.05,1161.8
51722,40.65,80.4,1044.3
51730,40.55,81.26667,1012.2
51747,39,83.66667,1099.3
51765,40.63333,87.7,846
51777,39.03333,88.16667,887.7
51802,38.93333,76.16667,1297.5
51804,37.76667,75.23333,3090.1
51810,38.91667,77.63333,1178.2
51811,38.43333,77.26667,1231.2
51814,37.91667,77.4,1360.4
51815,38.2,77.26667,1274.7
51818,37.61667,78.28333,1375.4
51826,37.01667,80.8,1336.5
51827,37.16667,79.63333,1348.9
51828,37.13333,79.93333,1375
51829,37.08333,80.16667,1347.9
51839,37.06667,82.71667,1409.5
51855,38.15,85.55,1247.2
51886,38.25,90.85,2944.8
51931,36.85,81.65,1422
52101,43.6,93.05,1679.4
52112,43.75,94.98333,479
52118,43.26667,94.7,1728.6
52203,42.81667,93.51667,737.2
52267,41.95,101.0667,940.5
52313,41.53333,94.66667,1573.8
52323,41.8,97.03333,1770.4
52378,41.36667,102.3667,960
52418,40.15,94.68333,1139
52424,40.53333,95.78333,1170.9
52436,40.26667,97.03333,1526
52446,40.3,99.51667,1177.4
52447,40,98.88333,1270.5
52495,40.16667,104.8,1323.9
52515,39.51667,94.86667,2137.2
52533,39.76667,98.48333,1477.2
52546,39.36667,99.83333,1332.2
52557,39.15,100.1667,1453.7
52575,39.41667,102.7833,1239.5
52576,39.21667,101.6833,1510.1
52602,38.75,93.33333,2770
52607,39.43333,106.65,1252.6
52633,38.81667,98.41667,3367
52643,38.83333,99.61667,2311.8
52645,38.43333,99.6,3314
52652,39.08333,100.2833,1461.1
52656,38.43333,100.8167,2281.4
52657,38.18333,100.25,2787.4
52661,38.8,101.0833,1765.5
52674,38.21667,101.9333,2093.9
52679,37.91667,102.6667,1531.5
52681,38.63333,103.0833,1367.5
52707,36.8,93.68333,2767
52713,37.85,95.35,3173.2
52737,37.36667,97.38333,2981.5
52745,37.3,99.01667,3417.1
52754,37.33333,100.1333,3301.5
52765,37.38333,101.6167,2850
52784,37.46667,102.9,2072.4
52787,37.2,102.8667,3045.1
52797,37.18333,104.05,1630.9
52818,36.41667,94.91667,2807.6
52825,36.43333,96.43333,2790.4
52833,36.93333,98.48333,2950
52836,36.3,98.1,3189
52842,36.78333,99.08333,3087.6
52853,36.9,100.9833,3010
52855,36.68333,101.25,2675
52856,36.26667,100.6167,2835
52862,36.95,101.6833,2450
52863,36.81667,101.95,2480
52866,36.73333,101.75,2295.2
52868,36.01667,101.3667,2273
52869,36.5,101.5833,2667.5
52874,36.48333,102.4167,2021
52875,36.5,102.1,2125
52876,36.33333,102.8333,1813.9
52877,36.1,102.25,2834.7
52884,36.35,103.95,1668.5
52885,36.75,103.25,2118.8
52889,36.05,103.8833,1517.2
52895,36.56667,104.6833,1398.2
52896,36.55,104.15,1738.7
52908,35.21667,93.08333,4612.2
52943,35.58333,99.98333,3323.2
52957,35.25,100.6,3148.2
52963,35.93333,102.0167,2085.7
52968,35.03333,101.4667,3662.8
52972,35.85,102.45,1921
52974,35.55,102.0333,2475
52978,35.18333,102.5,2948.3
52980,35.96667,103.3,1648
52981,35.68333,103.3833,2421
52982,35.48333,103.55,1953.2
52983,35.86667,104.15,1874.4
52984,35.58333,103.1833,1917.2
52985,35.41667,103.3333,2162.8
52986,35.36667,103.8667,1893.8
52988,35.36667,103.7167,2015.8
52993,35.68333,105.0667,1739.4
52995,35.58333,104.6167,1897.2
52996,35.38333,105.0167,2450.6
52998,35.13333,104.2,2111
53068,43.63333,111.9333,963.1
53083,44.61667,114.15,1181.6
53149,42.53333,110.1333,1225.2
53192,44.01667,115,1147.7
53195,43.85,113.6333,1036.7
53231,41.4,106.4,1510.2
53272,42.75,112.6333,1104.9
53276,42.4,112.9,1150.8
53289,42.23333,113.8333,1322.1
53324,41.06667,107.05,1035.3
53336,41.56667,108.5167,1288
53337,41.08333,108.4667,1023.3
53343,41.76667,109.9667,1612.2
53348,41.01667,109.1333,1078.7
53352,41.7,110.4333,1376.6
53357,41.03333,110.05,1360.4
53362,41.53333,111.6833,1490.1
53367,41.31667,111.2333,1602.3
53368,41.08333,111.4667,1637.3
53378,41.28333,112.6167,1737.3
53384,41.45,113.1833,1423.5
53385,41.58333,113.5333,1420
53391,41.9,114,1482.7
53392,41.85,114.5833,1428.1
53397,41.1,113.9833,1376.5
53399,41.15,114.7,1393.3
53419,40.33333,107,1055.3
53420,40.85,107.1167,1024
53433,40.73333,108.65,1020.4
53446,40.53333,109.8833,1004.7
53455,40.55,110.5333,998.6
53457,40.4,110.0333,1011
53463,40.85,111.5667,1153.5
53464,40.71667,111.1667,1042.7
53466,40.75,111.7,1045.4
53467,40.25,111.25,1015.9
53469,40.4,111.8167,1166.7
53472,40.86667,112.5667,1451.7
53475,40.51667,112.4667,1268.9
53478,40,112.45,1345.8
53480,41.03333,113.0667,1419.3
53481,40.8,113.2167,1316.8
53483,40.86667,113.8333,1268.7
53484,40.45,113.15,1191.5
53486,40.36667,113.7667,1050.3
53487,40.08333,113.4167,1052.6
53488,40.03333,113.5833,1034.3
53490,40.43333,114.05,1014.7
53491,40.66667,114.3833,837.7
53492,40.1,114.15,937.6
53498,40.56667,115.0333,629.3
53499,40.76667,114.7333,755.2
53502,39.78333,105.75,1031.8
53505,37.88333,105.4,1380.7
53512,39.8,106.8,1105.6
53513,40.73333,107.3667,1041.1
53517,39.26667,106.3333,1464.5
53518,39.03333,106.35,1117.7
53519,39.21667,106.7667,1092.5
53522,40.05,107.8333,1180.3
53529,39.08333,107.9667,1381.4
53533,39.81667,108.7167,1414
53543,39.83333,109.9833,1461.9
53545,39.56667,109.7167,1367
53547,39.1,109.0333,1312.2
53553,39.86667,111.2167,1221.4
53562,39.91667,111.6667,1208
53564,39.36667,111.2167,1036
53565,39.43333,111.5,1051.7
53567,39.01667,111,1024.3
53573,40,112.7,1336.3
53574,39.51667,112.2667,1409.4
53575,39.1,112.2,1525.4
53576,39.5,112.8167,1045
53577,39,112.3,1437.4
53578,39.36667,112.4333,1114.8
53579,39.01667,112.9,859.7
53580,39.81667,113.1,1044.6
53582,39.71667,113.6667,1079.2
53584,39.56667,113.1667,1000.7
53585,39.16667,113.2667,933.9
53588,38.95,113.5167,2208.3
53590,39.75,114.2667,977.8
53593,39.83333,114.5667,909.5
53594,39.45,114.1833,938.7
53596,38.85,115.1333,52.2
53599,39.36667,114.6833,884.4
53602,38.83333,105.6667,1561.4
53610,38.56667,106.35,1106.2
53611,38.88333,106.55,1098.7
53612,37.98333,106.1833,1128.8
53614,38.46667,106.2,1110.9
53615,38.8,106.7,1101.6
53617,38.03333,106.0833,1118
